SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,CATEGORY
271,111,1,0,711,16,16,4
238,113,0,0,1832,42,9,6
254,90,0,0,1834,42,12,1
96,122,0,1,921,12,9,6
261,16,0,0,121,34,15,3
116,96,0,0,131,3,12,1
10,111,0,0,1023,28,4,6
42,111,0,0,1921,32,7,3
262,16,0,0,2024,46,24,3
238,88,0,0,1211,26,9,6
111,96,0,0,621,17,5,3
238,111,0,0,1925,46,9,6
225,14,0,0,1522,37,16,4
261,97,0,0,1121,27,15,3
232,23,1,0,1724,33,22,4
219,50,0,0,1134,24,9,6
261,16,0,0,424,7,15,3
130,16,0,0,1914,46,12,1
96,111,0,1,1232,34,9,6
59,111,0,0,925,3,7,3
122,105,0,0,822,14,24,2
271,90,1,0,621,17,16,4
59,111,0,0,1731,30,7,3
96,16,0,1,723,20,9,6
5,96,0,0,831,14,3,6
238,16,0,1,1033,25,8,6
261,96,0,0,432,10,15,3
261,111,0,0,124,28,15,3
285,16,1,1,1021,24,24,2
225,111,0,0,1723,33,16,4
118,107,1,0,1433,27,20,1
265,111,0,0,813,13,15,3
5,111,0,0,812,13,3,6
247,96,0,0,1422,26,8,2
260,88,1,0,2423,49,24,3
96,16,0,1,831,17,9,6
8,16,0,1,331,5,3,6
261,90,0,0,1212,36,15,3
96,16,0,1,612,17,9,6
130,96,0,0,931,15,12,1
91,111,0,0,1923,44,7,3
5,14,0,1,823,15,3,6
238,16,0,0,1811,2,9,6
248,111,0,0,411,8,7,3
96,96,0,1,1711,50,9,6
8,108,0,0,2212,19,3,6
265,122,0,0,832,16,15,3
85,96,0,1,1422,26,18,5
59,111,0,0,122,42,7,3
261,96,0,0,1722,39,15,3
73,16,1,0,121,34,18,2
255,81,0,0,1834,2,12,1
238,107,1,0,2432,49,9,6
285,16,0,1,1014,24,24,2
96,97,0,1,821,14,9,6
59,111,0,0,1113,28,7,3
269,96,0,0,1713,33,5,3
238,111,1,0,1422,26,9,6
199,107,1,0,1121,27,19,0
238,1,0,0,813,13,9,6
271,107,1,0,2013,48,16,4
17,16,1,1,634,9,4,6
123,85,0,1,214,4,24,2
